y1,x1_NEWUOA,x1_BFGS,x1_CG,y2,x2_NEWUOA,x2_BFGS,x2_CG,y3,x3_NEWUOA,x3_BFGS,x3_CG,y4,x4_NEWUOA,x4_BFGS,x4_CG,y5,x5_NEWUOA,x5_BFGS,x5_CG,y6,x6_NEWUOA,x6_BFGS,x6_CG,y7,x7_NEWUOA,x7_BFGS,x7_CG,y8,x8_NEWUOA,x8_BFGS,x8_CG,y9,x9_NEWUOA,x9_BFGS,x9_CG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.07692307692307693,1.0384615384615385,1.0384615384615385,0.0,0.07692307692307693,1.0384615384615385,1.0384615384615385,0.0,0.07692307692307693,1.3333333333333333,1.3333333333333333,0.0,0.07692307692307693,1.3333333333333333,1.3333333333333333,0.0,0.07692307692307693,1.3333333333333333,1.3333333333333333,0.0,0.07692307692307693,1.3333333333333333,1.3333333333333333,0.0,0.07692307692307693,1.3333333333333333,1.3333333333333333,0.0,0.07692307692307693,1.3333333333333333,1.3333333333333333,0.0,0.5,1.3333333333333333,1.3333333333333333
0.006369426751592357,0.07692307692307693,1.0384615384615385,1.0384615384615385,0.006369426751592357,0.07692307692307693,1.0384615384615385,1.0384615384615385,0.006369426751592357,0.07692307692307693,1.3333333333333333,1.3333333333333333,0.006369426751592357,0.07692307692307693,1.3333333333333333,1.3333333333333333,0.006369426751592357,0.07692307692307693,1.3333333333333333,1.3333333333333333,0.006369426751592357,0.07692307692307693,1.3333333333333333,1.3333333333333333,0.006369426751592357,0.07692307692307693,1.3333333333333333,1.3333333333333333,0.006369426751592357,0.07692307692307693,1.3333333333333333,1.3333333333333333,0.006369426751592357,0.5,1.3333333333333333,1.3333333333333333
0.006369426751592357,0.5,1.1111111111111112,1.1111111111111112,0.006369426751592357,0.5,1.3333333333333333,1.3333333333333333,0.006369426751592357,0.5,1.3333333333333333,1.3333333333333333,0.006369426751592357,0.5,1.3333333333333333,1.3333333333333333,0.006369426751592357,0.5,1.3333333333333333,1.3333333333333333,0.006369426751592357,0.5,1.3333333333333333,1.3333333333333333,0.006369426751592357,0.5,2.3333333333333335,2.25,0.006369426751592357,0.5,2.3333333333333335,3.3333333333333335,0.006369426751592357,1.6666666666666667,2.3333333333333335,3.3333333333333335
0.012738853503184714,0.5,1.1111111111111112,1.1111111111111112,0.012738853503184714,0.5,1.3333333333333333,1.3333333333333333,0.012738853503184714,0.5,1.3333333333333333,1.3333333333333333,0.012738853503184714,0.5,1.3333333333333333,1.3333333333333333,0.012738853503184714,0.5,1.3333333333333333,1.3333333333333333,0.012738853503184714,0.5,1.3333333333333333,1.3333333333333333,0.012738853503184714,0.5,2.3333333333333335,2.25,0.012738853503184714,0.5,2.3333333333333335,3.3333333333333335,0.012738853503184714,1.6666666666666667,2.3333333333333335,3.3333333333333335
0.012738853503184714,0.5,1.1111111111111112,1.1111111111111112,0.012738853503184714,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.012738853503184714,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.012738853503184714,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.012738853503184714,0.6666666666666666,2.3333333333333335,2.25,0.012738853503184714,0.6666666666666666,2.3333333333333335,2.25,0.012738853503184714,1.0,3.019607843137255,2.3333333333333335,0.012738853503184714,1.0,3.3333333333333335,4.019607843137255,0.012738853503184714,2.0588235294117645,5.019607843137255,4.019607843137255
0.019108280254777073,0.5,1.1111111111111112,1.1111111111111112,0.019108280254777073,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.019108280254777073,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.019108280254777073,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.019108280254777073,0.6666666666666666,2.3333333333333335,2.25,0.019108280254777073,0.6666666666666666,2.3333333333333335,2.25,0.019108280254777073,1.0,3.019607843137255,2.3333333333333335,0.019108280254777073,1.0,3.3333333333333335,4.019607843137255,0.019108280254777073,2.0588235294117645,5.019607843137255,4.019607843137255
0.019108280254777073,0.6666666666666666,1.1111111111111112,1.1111111111111112,0.019108280254777073,0.75,1.3333333333333333,1.3333333333333333,0.019108280254777073,1.0,2.090909090909091,2.25,0.019108280254777073,1.0,2.090909090909091,2.25,0.019108280254777073,1.0,3.019607843137255,3.019607843137255,0.019108280254777073,1.0,3.019607843137255,3.019607843137255,0.019108280254777073,1.6666666666666667,3.3333333333333335,3.3333333333333335,0.019108280254777073,1.6666666666666667,4.019607843137255,4.019607843137255,0.019108280254777073,2.0980392156862746,5.333333333333333,4.019607843137255
0.025477707006369428,0.6666666666666666,1.1111111111111112,1.1111111111111112,0.025477707006369428,0.75,1.3333333333333333,1.3333333333333333,0.025477707006369428,1.0,2.090909090909091,2.25,0.025477707006369428,1.0,2.090909090909091,2.25,0.025477707006369428,1.0,3.019607843137255,3.019607843137255,0.025477707006369428,1.0,3.019607843137255,3.019607843137255,0.025477707006369428,1.6666666666666667,3.3333333333333335,3.3333333333333335,0.025477707006369428,1.6666666666666667,4.019607843137255,4.019607843137255,0.025477707006369428,2.0980392156862746,5.333333333333333,4.019607843137255
0.025477707006369428,0.75,1.1111111111111112,1.1111111111111112,0.025477707006369428,1.0,2.090909090909091,2.019607843137255,0.025477707006369428,1.3333333333333333,2.25,2.25,0.025477707006369428,1.3333333333333333,2.3333333333333335,3.019607843137255,0.025477707006369428,2.0,3.019607843137255,3.3333333333333335,0.025477707006369428,2.0,3.090909090909091,3.3333333333333335,0.025477707006369428,2.0,4.090909090909091,4.019607843137255,0.025477707006369428,2.0588235294117645,4.090909090909091,4.090909090909091,0.025477707006369428,2.9215686274509802,5.333333333333333,4.090909090909091
